card_id,content,created_at,updated_at,audio_url,background_music_url,mood,is_discussion_card
"150","星空之下，最想讲述的一个愿望是什么？","2024-09-21 00:00:00","2024-09-21 00:00:00","https://example.com/audio50","https://example.com/music50","浪漫","1"
"149","写一段你心中的夜晚独白。","2024-09-21 00:00:00","2024-09-21 00:00:00","https://example.com/audio49","https://example.com/music49","梦幻","1"
"148","如果可以重拾一件遗忘已久的事物，它会是什么？","2024-09-21 00:00:00","2024-09-21 00:00:00","https://example.com/audio48","https://example.com/music48","怀旧","1"
"147","阳光洒在书页上，像是另一段时光透过文字流淌。","2024-09-21 00:00:00","2024-09-21 00:00:00","https://example.com/audio47","https://example.com/music47","静谧","1"
"146","静下心来，想象一段与大自然共鸣的时光。","2024-09-21 00:00:00","2024-09-21 00:00:00","https://example.com/audio46","https://example.com/music46","自然","1"
"145","傍晚的风是轻柔的，也是充满故事的。","2024-09-21 00:00:00","2024-09-21 00:00:00","https://example.com/audio45","https://example.com/music45","蓝调","1"
"144","把心中的疑问写下来，可能答案会在意外中找到。","2024-09-21 00:00:00","2024-09-21 00:00:00","https://example.com/audio44","https://example.com/music44","沉思","1"
"143","晨光透过窗户照进来，你能想象这画面背后的故事吗？","2024-09-21 00:00:00","2024-09-21 00:00:00","https://example.com/audio43","https://example.com/music43","静谧","1"
"142","如果可以画下你心中的一个地方，它是什么样的？","2024-09-21 00:00:00","2024-09-21 00:00:00","https://example.com/audio42","https://example.com/music42","创意","1"
"141","某个风起的夜晚，街道上有你未曾注意的小细节。","2024-09-21 00:00:00","2024-09-21 00:00:00","https://example.com/audio41","https://example.com/music41","悠然","1"
"140","回忆一段你曾经最喜欢的日子。","2024-09-21 00:00:00","2024-09-21 00:00:00","https://example.com/audio40","https://example.com/music40","怀旧","1"
"139","用三句话写下你此刻的情绪，简单且真实。","2024-09-21 00:00:00","2024-09-21 00:00:00","https://example.com/audio39","https://example.com/music39","内省","1"
"138","如果可以静静地看一场大雨，你最想在哪里看？","2024-09-21 00:00:00","2024-09-21 00:00:00","https://example.com/audio38","https://example.com/music38","放松","1"
"137","在日落之前，总有一些未完成的心事。","2024-09-21 00:00:00","2024-09-21 00:00:00","https://example.com/audio37","https://example.com/music37","静谧","1"
"136","随笔：写下你的梦中曾遇见的一个人物。","2024-09-21 00:00:00","2024-09-21 00:00:00","https://example.com/audio36","https://example.com/music36","梦幻","1"
"135","当第一片雪花飘落时，世界似乎静止了，你会想些什么？","2024-09-21 00:00:00","2024-09-21 00:00:00","https://example.com/audio35","https://example.com/music35","寂静","1"
"134","你最想与谁分享一杯暖茶的时光？","2024-09-21 00:00:00","2024-09-21 00:00:00","https://example.com/audio34","https://example.com/music34","温暖","1"
"133","用你的话描绘出一片无人的沙滩。","2024-09-21 00:00:00","2024-09-21 00:00:00","https://example.com/audio33","https://example.com/music33","寂静","1"
"132","某种味道常常会让你回忆起什么？","2024-09-21 00:00:00","2024-09-21 00:00:00","https://example.com/audio32","https://example.com/music32","怀旧","1"
"131","对未来的自己说一句鼓励的话。","2024-09-21 00:00:00","2024-09-21 00:00:00","https://example.com/audio31","https://example.com/music31","励志","1"
"130","假如可以穿越回一个年代，会选择去哪一个？为什么？","2024-09-21 00:00:00","2024-09-21 00:00:00","https://example.com/audio30","https://example.com/music30","怀旧","1"
"129","冬日里，你最珍贵的一段回忆是什么？","2024-09-21 00:00:00","2024-09-21 00:00:00","https://example.com/audio29","https://example.com/music29","温暖","1"
"128","在宁静的夜里，手边的书似乎有了自己的生命。","2024-09-21 00:00:00","2024-09-21 00:00:00","https://example.com/audio28","https://example.com/music28","静谧","1"
"127","从一张旧照片开始，展开一段随笔或故事。","2024-09-21 00:00:00","2024-09-21 00:00:00","https://example.com/audio27","https://example.com/music27","怀旧","1"
"126","关于月亮，总有一段未被讲述的古老传说。","2024-09-21 00:00:00","2024-09-21 00:00:00","https://example.com/audio26","https://example.com/music26","梦幻","1"
"125","写下你最喜欢的一段歌词，它总是在某些时刻让你心动。","2024-09-21 00:00:00","2024-09-21 00:00:00","https://example.com/audio25","https://example.com/music25","怀旧","1"
"124","某个黄昏，风吹过街道的尽头，留下了什么情绪？","2024-09-21 00:00:00","2024-09-21 00:00:00","https://example.com/audio24","https://example.com/music24","浪漫","1"
